,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
357842,2224,NO,Halladay St,Aurora Ave N,47.6420830857,-122.34704983,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
358211,1381,NO,Wheeler St,Dexter Ave N,47.6412061193,-122.344523179,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
358595,1422,NO,6th Ave N,Dexter Ave N,47.640144094,-122.344428016,Bus Stop,,,45.0,145.0,East Queen Anne,QUEEN ANNE,10.0
358621,3304,,,,47.640516,-122.365599,Elementary Schools,Coe,2424 7th Ave W,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
358931,2323,NO,W Raye St,6th Ave W,47.6430004736,-122.364790978,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
359249,1558,NO,W Blaine St,28th Ave W,47.6348726138,-122.393142619,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
359282,1525,NO,W Blaine St,28th Ave W,47.6349119469,-122.392939536,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
359842,558,NO,Thorndyke Ave W,22nd Ave W,47.6433989528,-122.384517202,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
360609,183,NO,W Blaine St,Thorndyke Ave W,47.6348723722,-122.390997146,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
360610,581,NO,W Blaine St,Thorndyke Ave W,47.6352022458,-122.39037822,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
360611,1033,NO,27th Ave W,W Blaine St,47.6351600716,-122.391208133,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
360613,1526,NO,W Hayes St,Thorndyke Ave W,47.6340069921,-122.391742188,Bus Stop,,,68.0,199.0,Interbay,INTERBAY,9.0
360614,1557,NO,W Eaton St,28th Ave W,47.6331080077,-122.39317471,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
360659,1439,NO,Warren Ave N,Nickerson St,47.6482572125,-122.354555476,Bus Stop,,,48.0,140.0,North Queen Anne,QUEEN ANNE,10.0
360674,586,NO,Thorndyke Ave W,22nd Ave W,47.6430450033,-122.384693751,Bus Stop,,,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
361007,1382,NO,Newton St,Dexter Ave N,47.6361034627,-122.342350139,Bus Stop,,,49.0,202.0,Westlake,CASCADE,12.0
